#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
1;ich;I;Ich bin heute müde.;I am tired today.;pronoun;أنا;;;I;;;
2;ein;a / one;Ich habe ein Auto.;I have a car.;article;"واحد / واحد (كـ""a"")";;;a;;;
3;nicht;not;Das ist nicht gut.;That is not good.;particle;مش / ما-;;;not;;;
4;und;and;Tom und Anna kommen später.;Tom and Anna are coming later.;conjunction;و;;;and;;;
5;zu;to;Ich gehe zu meiner Freundin.;I am going to my friend (female).;prep;لـ / لِـ;;;to;;;
6;wird;will / becomes;Es wird morgen warm.;It will be warm tomorrow.;verb;هيبقى / يصبح;;;will;;;
7;kann;can;Ich kann Deutsch sprechen.;I can speak German.;verb;يقدر;;;can;;;
8;mit;with;Kommst du mit mir?;Are you coming with me?;prep;مع;;;with;;;
9;ja;yes;Ja, ich komme.;Yes, I’m coming.;particle;آه;;;Yes;;;
10;wie;how;Wie heißt du?;What’s your name?;adverb;إزّاي;;;What;;;
11;auf;on / onto;Es liegt auf dem Tisch.;It’s on the table.;prep;على;;;on;;;
12;dass;that (conjunction.);Ich glaube, dass es regnet.;I think that it’s raining.;conjunction;إنّ;;;that;;;
13;aber;but;Ich will, aber ich kann nicht.;I want to, but I can’t.;conjunction;بس;;;but;;;
14;gut;good;Das ist gut so.;That's good like that.;adjective;كويس;;;good;;;
15;weiß;know (I/he/she);Ich weiß es nicht.;I don’t know.;verb;عارف;;;know;;;
16;so;so / like that;Das ist so schön!;That is so beautiful!;adverb;كده / جدًا;;;so;;;
17;von;from / of;Ich komme von der Arbeit.;I'm coming from work.;prep;من;;;from;;;
18;hier;here;Ich bin hier.;I’m here.;adverb;هنا;;;here;;;
19;sagen;to say;Was willst du sagen?;What do you want to say?;verb;يقول;;;say;;;
20;bitte;please;Bitte komm rein.;Please come in.;particle;لو سمحت / من فضلك;;;Please;;;
21;für;for;Das ist für dich.;This is for you.;prep;علشان / لـ;;;for;;;
22;komm;come;Komm schnell!;Come quickly!;verb;تعال / تيجي;;;Come;;;
23;machen;to make / do;Was machst du heute?;What are you doing today?;verb;يعمل;;machst;doing;;;
24;wenn;if / when;Wenn ich Zeit habe, rufe ich dich an.;If I have time, I'll call you.;conjunction;لو;;;If;;;
25;keine;no / none;Ich habe keine Zeit.;I have no time.;article;مفيش / ولا;;;no;;;
26;muss;must / have to;Ich muss lernen.;I have to study.;verb;لازم;;;have to;;;
27;diese;this / these;Ich nehme diese Tasche.;I’ll take this bag.;pronoun;دي / دول / ده (حسب النوع);;;this;;;
28;nein;no;Nein, danke.;No, thanks.;particle;لأ;;;No;;;
29;mehr;more;Ich möchte mehr Wasser.;I want more water.;adverb;أكتر;;;more;;;
30;noch;still / yet;Bist du noch da?;Are you still there?;adverb;لسه / كمان;;;still;;;
31;da;there / present;Ich bin gleich da.;I’ll be there soon.;adverb;هناك / هنا (حسب السياق);;;there;;;
32;tun;to do;Was soll ich tun?;What should I do?;verb;يعمل / يسوّي;;;do;;;
33;nur;only / just;Ich habe nur zehn Euro.;I only have ten euros.;adverb;بس;;;only;;;
34;soll;should / supposed to;Was soll das heißen?;What is that supposed to mean?;verb;المفروض;;;supposed to;;;
35;schon;already;Ich bin schon fertig.;I’m already finished.;adverb;خلاص / بالفعل;;;already;;;
36;auch;also / too;Ich komme auch.;I’m coming too.;adverb;كمان;;;too;;;
37;mal;once / (softener);Sag mal, was machst du?;Tell me, what are you doing?;particle;مرة;;;Tell me;;;
38;als;than / when;Er ist größer als ich.;He is taller than me.;conjunction;لما / كـ;;;than;;;
39;jetzt;now;Ich gehe jetzt.;I’m going now.;adverb;دلوقتي;;;now;;;
40;um;at / around;Wir treffen uns um acht.;We’re meeting at eight.;prep;علشان / عشان;;;at;;;
41;aus;from / out of;Ich komme aus Berlin.;I come from Berlin.;prep;من / برا;;;from;;;
42;dann;then;Wir essen und dann gehen wir.;We eat and then we go.;adverb;بعدين;;;then;;;
43;hör;hear / listen;Hör zu!;Listen!;verb;اسمع / وقف ;;;Listen;;;
44;doch;though / but;Komm doch mit!;Come with us (come on)!;particle;برضه / ما هو;;;Come with;;;
45;oder;or;Tee oder Kaffee?;Tea or coffee?;conjunction;أو;;;or;;;
46;dachte;thought;Ich dachte, du schläfst.;I thought you were sleeping.;verb;افتكرت / كنت فاكر;;;thought;;;
47;bei;at / with;Ich bin bei meiner Mutter.;I’m at my mom’s.;prep;عند / في;;;at;;;
48;nichts;nothing;Ich habe nichts gemacht.;I did nothing.;pronoun;مفيش حاجة;;;nothing;;;
49;wo;where;Wo bist du?;Where are you?;adverb;فين;;;Where;;;
50;etwas;something;Ich muss dir etwas sagen.;I need to tell you something.;pronoun;حاجة / شوية;;;something;;;
51;Mann;man;Kennst du den Mann?;Do you know the man?;noun;راجل;m;;man;;;
52;oh;oh;Oh, wirklich?;Oh, really?;interjection;أووه;;;Oh;;;
53;also;so / well;Also, was machen wir?;So, what are we doing?;adverb;يعني / طيب;;;So;;;
54;danke;thanks;Danke für alles.;Thanks for everything.;verb;شكراً;;;Thanks;;;
55;immer;always;Sie ist immer pünktlich.;She is always on time.;adverb;دايمًا;;;always;;;
56;warum;why;Warum lachst du?;Why are you laughing?;adverb;ليه;;;Why;;;
57;ganz;completely / very;Das ist ganz normal.;That’s completely normal.;adverb;جدًا / خالص;;;completely;;;
58;weg;gone / away;Mein Handy ist weg.;My phone is gone.;adverb;مشي / اختفى;;;gone;;;
59;vor;before / in front of;Vor dem Haus steht ein Auto.;A car is in front of the house.;prep;قبل;;;in front of;;;
60;liebe;love;Liebe ist nicht immer einfach.;Love is not always easy.;noun;حب;f;;Love;;;
61;glaube;believe;Ich glaube dir.;I believe you.;verb;أظن / أفتكر;;;believe;;;
62;leben;life / to live;Das Leben ist schön.;Life is beautiful.;verb;يعيش;;;Life;;;
63;wieder;again;Versuch es wieder.;Try again.;adverb;تاني;;;again;;;
64;finden;to find;Ich kann meine Schlüssel nicht finden.;I can’t find my keys.;verb;يلاقي;;;find;;;
65;sehr;very;Das ist sehr gut.;That is very good.;adverb;جدًا;;;very;;;
66;okay;okay;Okay, kein Problem.;Okay, no problem.;particle;ماشي / تمام;;;Okay;;;
67;denn;because / then;Was machst du denn?;So what are you doing?;conjunction;لأنّ / بقى;;;So;;;
68;möchte;would like;Ich möchte ein Bier.;I’d like a beer.;verb;عايز;;;like;;;
69;über;about / over;Wir reden über dich.;We’re talking about you.;prep;عن / فوق;;;about;;;
70;brauchen;to need;Ich brauche Hilfe.;I need help.;verb;محتاج;;brauche;need;;;
71;vielleicht;maybe;Vielleicht komme ich später.;Maybe I’ll come later.;adverb;يمكن;;;Maybe;;;
72;anderen;other (pl./dat./acc.);Ich kenne die anderen nicht.;I don’t know the others.;adjective;ناس تانية / آخرين;;;others;;;
73;nehmen;to take;Ich nehme den Bus.;I take the bus.;verb;ياخد;;nehme;take;;;
74;fall;case ;In diesem Fall hast du recht.;In this case, you're right.;noun;حالة / موقف;m;;case;;;
75;wirklich;really;Das ist wirklich schön.;That is really beautiful.;adverb;بجد;;;really;;;
76;einfach;simply / easy;Das ist einfach.;That’s easy.;adverb;بسيط / سهل;;;easy;;;
77;halt;just / simply;Das ist halt so.;That’s just how it is.;particle;يعني / بقى (كلمة حشو);;;just;;;
78;Frau;woman;Kennst du die Frau?;Do you know the woman?;noun;ست / سِتّ;f;;woman;;;
79;nie;never;Er kommt nie pünktlich.;He never arrives on time.;adverb;عمره ما / ولا مرة;;;never;;;
80;hey;hey;Hey, was geht?;Hey, what’s up?;interjection;هاي / إزيّك;;;Hey;;;
81;hause;home ;Ich bin zu Hause.;I’m at home.;noun;بيت;n;;home;;;
82;bringen;to bring;Bring mir Wasser, bitte.;Bring me water, please.;verb;يجيب / يحضر;;Bring;Bring;;;
83;tag;day;Wie war dein Tag?;How was your day?;noun;يوم;m;;day;;;
84;zeit;time;Ich habe keine Zeit.;I don’t have time.;noun;وقت;f;;time;;;
85;leid;sorrow / sorry;Es tut mir leid.;I’m sorry.;noun;أسف / زعلان;n;;sorry;;;
86;weil;because;Ich bleibe, weil ich müde bin.;I stay because I’m tired.;conjunction;علشان / لأنّ;;;because;;;
87;warte;wait;Warte bitte!;Please wait!;verb;استنى;;;wait;;;
88;verstehe;understand;Ich verstehe dich.;I understand you.;verb;فاهم;;;understand;;;
