lemma,english,aux,ich,du,er,ihr,wir,Sie,partizip,preps,reflexive,past,case,trennbar
sein,"his, its",sein,bin,bist,ist,seid,sind,sind,sein-,,FALSE,war,Akk,FALSE
wenn,"when, whenever, if",haben,wene,wenst,went,went,wenn,wenn,gewent,,FALSE,wente,Akk,FALSE
werden,"to become, get",sein,werde,wirst,wird,werdet,werden,werden,geworden,zu,FALSE,wurde,Akk,FALSE
haben,to have,haben,habe,hast,hat,habt,haben,haben,gehabt,,FALSE,hatte,Akk,FALSE
wollen,to want to,haben,will,willst,will,wollt,wollen,wollen,gewollt,,FALSE,wollte,Infinitiv,FALSE
können,"to be able to, can",haben,kann,kannst,kann,könnt,können,können,gekonnt,,FALSE,konnte,Infinitiv,FALSE
müssen,to have to,haben,muss,musst,muss,müsst,müssen,müssen,gemusst,,FALSE,musste,Infinitiv,FALSE
sollen,"should, ought to",haben,soll,sollst,soll,sollt,sollen,sollen,gesollt,,FALSE,sollte,Infinitiv,FALSE
lassen,"to let, allow, have done",haben,lasse,lässt,lässt,lasst,lassen,lassen,gelassen,,FALSE,ließ,Akk,FALSE
geben,to give,haben,gebe,gibst,gibt,gebt,geben,geben,gegeben,,FALSE,gab,Akk,FALSE
sagen,to say,haben,sage,sagst,sagt,sagt,sagen,sagen,gesagt,,FALSE,sagte,Akk,FALSE
kommen,to come,sein,komme,kommst,kommt,kommt,kommen,kommen,gekommen,aus; zu,FALSE,kam,Akk,FALSE
gehen,to go,sein,gehe,gehst,geht,geht,gehen,gehen,gegangen,in; zu,FALSE,ging,Akk,FALSE
machen,"to make, to do",haben,mache,machst,macht,macht,machen,machen,gemacht,,FALSE,machte,Akk,FALSE
stehen,"to stand, to be located",haben,stehe,stehst,steht,steht,stehen,stehen,gestanden,,FALSE,stand,Akk,FALSE
sehen,to see,haben,sehe,siehst,sieht,seht,sehen,sehen,gesehen,,FALSE,sah,Akk,FALSE
finden,to find,haben,finde,findest,findet,findet,finden,finden,gefunden,,FALSE,fand,Akk,FALSE
bleiben,"to stay, remain",sein,bleibe,bleibst,bleibt,bleibt,bleiben,bleiben,geblieben,,FALSE,blieb,Akk,FALSE
liegen,"to be in a horizontal position, lying, to lie, to be located",haben,liege,liegst,liegt,liegt,liegen,liegen,gelegen,,FALSE,lag,Akk,FALSE
stellen,"to put, place, set",haben,stelle,stellst,stellt,stellt,stellen,stellen,gestellt,,FALSE,stellte,Akk,FALSE
nehmen,to take,haben,nehme,nimmst,nimmt,nehmt,nehmen,nehmen,genommen,,FALSE,nahm,Akk,FALSE
zeigen,to show,haben,zeige,zeigst,zeigt,zeigt,zeigen,zeigen,gezeigt,,FALSE,zeigte,Akk,FALSE
dürfen,"to be allowed, permitted",haben,darf,darfst,darf,dürft,dürfen,dürfen,gedurft,,FALSE,durfte,Infinitiv,FALSE
halten,"to keep, hold, stop",haben,halte,hältst,hält,haltet,halten,halten,gehalten,,FALSE,hielt,Akk,FALSE
spielen,to play,haben,spiele,spielst,spielt,spielt,spielen,spielen,gespielt,mit,FALSE,spielte,Akk,FALSE
bringen,to bring,haben,bringe,bringst,bringt,bringt,bringen,bringen,gebracht,,FALSE,brachte,Akk,FALSE
führen,to lead,haben,führe,führst,führt,führt,führen,führen,geführt,zu,FALSE,führte,Akk,FALSE
gehören,to belong,haben,gehöre,gehörst,gehört,gehört,gehören,gehören,gehört,zu,FALSE,gehörte,Dat,FALSE
beginnen,to begin,haben,beginne,beginnst,beginnt,beginnt,beginnen,beginnen,begonnen,mit,FALSE,begann,Infinitiv,FALSE
