english,article,german,plural,Example 1,Example 2,Example 3
work / job,die,Arbeit,Arbeiten,Ich gehe jeden Tag zur Arbeit.,Die Arbeit macht mir Spaß.,Er sucht eine neue Arbeit.
picture,das,Bild,Bilder,Das Bild hängt an der Wand.,Sie malt ein schönes Bild.,Ich schaue mir ein Bild an.
end,das,Ende,Enden,Am Ende des Films war ich traurig.,Jedes Ende ist auch ein Anfang.,Das Ende der Straße ist nah.
euro,der,Euro,Euros,Das Buch kostet zehn Euro.,"Er bezahlt in bar, fünf Euro.",Ich habe nur einen Euro dabei.
question,die,Frage,Fragen,Ich habe eine Frage.,Kann ich dir eine Frage stellen?,Die Frage ist schwer.
woman,die,Frau,Frauen,Die Frau sitzt im Café.,Er spricht mit einer Frau.,Die Frau liest eine Zeitung.
house,das,Haus,Häuser,Das Haus ist groß.,Wir wohnen in einem Haus.,Vor dem Haus steht ein Baum.
child,das,Kind,Kinder,Das Kind spielt im Garten.,Viele Kinder gehen in die Schule.,Das Kind schläft ruhig.
country,das,Land,Länder,Deutschland ist ein Land in Europa.,Er fährt aufs Land.,Jedes Land hat seine eigenen Gesetze.
life,das,Leben,Leben,Das Leben ist schön.,Er erzählt von seinem Leben.,Im Leben lernt man viel.
man,der,Mann,Männer,Der Mann liest die Zeitung.,Ein Mann steht vor dem Haus.,Der Mann arbeitet im Büro.
person / human,der,Mensch,Menschen,Der Mensch braucht Wasser.,Jeder Mensch macht Fehler.,Der Mensch ist müde.
million,die,Million,Millionen,Er hat eine Million Euro gewonnen.,Eine Million Menschen leben hier.,Das Projekt kostet eine Million Euro.
place / square,der,Platz,Plätze,Der Platz ist leer.,Wir treffen uns auf dem Platz.,Ich brauche mehr Platz.
page / side,die,Seite,Seiten,Er liest die erste Seite des Buches.,Bitte schlagen Sie die Seite zehn auf.,Auf der anderen Seite ist ein Bild.
game,das,Spiel,Spiele,Das Spiel beginnt um acht Uhr.,Kinder lieben das Spiel.,Das Spiel war spannend.
city,die,Stadt,Städte,Berlin ist eine große Stadt.,Die Stadt hat viele Sehenswürdigkeiten.,Er wohnt in der Stadt.
