prep,forms,de1,de2,de3,de4,de5,de6,de7,de8,de9,de10
an,an;am;ans,Ich denke an dich,Das Bild hängt an der Wand,Wir sitzen am Tisch,Er arbeitet an einem neuen Projekt,Ich erinnere mich an den Tag,Sie steht an der Bushaltestelle,An der Ecke ist ein Café,Er glaubt an sich selbst,Ich schreibe einen Brief an meinen Freund,An Weihnachten besuchen wir die Familie
in,in;im;ins,Ich wohne in Berlin,Wir gehen ins Kino,Das Buch liegt in der Tasche,In der Nacht ist es still,Er arbeitet in einer großen Firma,In einer Stunde bin ich zurück,Ich bin in guter Stimmung,In Deutschland spricht man Deutsch,In der Küche riecht es gut,In den Ferien fahren wir ans Meer
bei,bei;beim,Ich bin bei meinen Eltern,Sie arbeitet bei einer Bank,Bei Regen bleibe ich zu Hause,Wir treffen uns bei Peter,Bei dieser Musik kann ich mich nicht konzentrieren,Er ist immer freundlich bei der Arbeit,Bei dem Unfall wurde niemand verletzt,Ich war bei der Party gestern,Bei Fragen können Sie mich anrufen,Bei uns ist das anders
von,von;vom,Ich komme gerade von der Arbeit,Das Geschenk ist von meiner Mutter,Von hier aus sieht man die Berge,Er erzählt von seiner Reise,Ich habe das Buch von einem Freund bekommen,Der Wind weht vom Meer,Sie spricht oft von ihrer Kindheit,Von Zeit zu Zeit gehe ich schwimmen,Der Brief ist von meinem Chef unterschrieben,Von dort kann man den See sehen
auf,,Ich lege das Buch auf den Tisch,Die Kinder spielen auf der Straße,Er freut sich auf den Urlaub,Wir warten auf den Bus,Ich achte auf meine Ernährung,Das Bild hängt auf der Wand,Sie steigt auf den Berg,Auf dem Balkon ist es sonnig,Ich bin auf dem Weg zur Arbeit,Er konzentriert sich auf seine Aufgabe
aus,,Ich komme aus Berlin,Sie trinkt Wasser aus der Flasche,Der Tisch ist aus Holz,Ich hole etwas aus der Tasche,Er zieht die Schuhe aus,Der Vogel fliegt aus dem Käfig,Wir machen das Beste aus der Situation,Das Licht geht von selbst aus,Ich lerne viel aus meinen Fehlern,Er nimmt das Buch aus dem Regal
durch,,Wir gehen durch den Park,Die Sonne scheint durch das Fenster,Das Licht kommt durch das Fenster,Er ist durch die Prüfung gefallen,Der Hund rennt durch den Garten,Wir fahren durch den Tunnel,Der Wind pfeift durch die Bäume,Das Wasser fließt durch das Rohr,Er schaut durch das Fernglas,Wir kämpfen uns durch den Schnee
für,,Das Geschenk ist für dich,Ich interessiere mich für Musik,Sie arbeitet für eine große Firma,Wir danken dir für deine Hilfe,Er kämpft für seine Rechte,Ich bezahle für das Essen,Das ist gut für die Gesundheit,Ich habe keine Zeit für Kino,Das ist zu viel für mich,Ich entscheide mich für den blauen Pullover
gegen,,Ich bin gegen diese Idee,Er hat etwas gegen Katzen,Das Auto fuhr gegen die Wand,Wir spielen heute gegen Bayern,Sie kämpft gegen die Müdigkeit,Die Medizin hilft gegen Kopfschmerzen,Ich bin allergisch gegen Nüsse,Er hat sich gegen die Entscheidung gewehrt,Wir demonstrieren gegen Rassismus,Der Ball flog gegen das Fenster
mit,,Ich fahre mit dem Bus,Sie spricht mit ihrer Freundin,Wir essen mit den Händen,Er kommt mit seinem Bruder,Ich bin mit allem zufrieden,Kommst du mit mir ins Kino,Ich schreibe mit einem Bleistift,Sie tanzt mit großer Freude,Ich habe Kaffee mit Milch bestellt,Er arbeitet mit voller Konzentration
nach,,Ich fahre nach Hause,Sie fliegt nach Spanien,Nach dem Essen machen wir einen Spaziergang,Es riecht nach Regen,Nach zwei Stunden kam er zurück,Nach und nach wurde es hell,Er fragt nach dem Weg,Ich sehne mich nach Ruhe,Nach dem Konzert gingen wir essen,Nach dem Training dusche ich sofort
über,,Wir sprechen über das Wetter,Ich lese ein Buch über Architektur,Der Vogel fliegt über das Haus,Ich freue mich über dein Geschenk,Er hat sich über das Ergebnis geärgert,Über Nacht hat es geschneit,Das Flugzeug fliegt über die Alpen,Wir diskutieren über Politik,Sie wundert sich über die hohen Preise,Über das Thema weiß ich wenig
um,,Wir treffen uns um acht Uhr,Er kümmert sich um die Kinder,Es geht um die Zukunft,Sie streiten sich um das Geld,Ich laufe um den See,"Um ehrlich zu sein, bin ich müde",Er bittet um Hilfe,Wir drehen uns um die eigene Achse,Es handelt sich um ein Missverständnis,Ich gehe um die Ecke
unter,,Der Hund liegt unter dem Tisch,Wir sprechen unter vier Augen,"Unter uns gesagt, war der Film langweilig",Die Katze versteckt sich unter dem Bett,Unter Druck arbeite ich besser,Das Buch liegt unter dem Stuhl,Er lebt unter schwierigen Bedingungen,Unter Freunden ist das kein Problem,Unter diesen Umständen bleibe ich zu Hause,Das Wasser fließt unter der Brücke hindurch
vor,,Das Auto steht vor dem Haus,Ich habe Angst vor Spinnen,Vor dem Schlafengehen lese ich,Er spricht vor vielen Leuten,Vor Freude hat sie gelacht,Stell dich vor die Tür,Vor einem Jahr war ich in Rom,Er warnt uns vor Gefahren,Vor dem Essen wasche ich mir die Hände,Vor dem Kino treffen wir uns
zu,zu;zur;zum,Ich gehe zu meiner Oma,Wir fahren morgen zur Schule,Er hört gern zu,Komm bitte zu mir,Ich gehe zu Fuß,Zu Hause ist es am schönsten,Sie lädt uns zu ihrer Party ein,Er gehört zu den Besten,Zu diesem Thema habe ich keine Meinung,Ich gehe zum Arzt
zwischen,,Das Buch liegt zwischen den Heften,Zwischen uns ist alles gut,Er sitzt zwischen seinen Freunden,Zwischen Berlin und Hamburg liegen viele Städte,Zwischen Tür und Angel erzählte er die Neuigkeit,Der Zug fährt zwischen München und Wien,Zwischen Weihnachten und Neujahr habe ich frei,Die Entscheidung liegt zwischen Ja und Nein,Zwischen den Zeilen steht viel,Zwischen den Häusern weht ein kalter Wind
seit,,Ich lerne seit einem Jahr Deutsch,Sie wohnt seit 2015 in Köln,Seit gestern regnet es,Seit wann bist du hier,Seit Wochen warte ich auf deine Antwort,Seit dem Unfall fährt er vorsichtiger,Seit unserer Kindheit kennen wir uns,Seit einem Jahr lernt er Deutsch,Seit drei Tagen habe ich Kopfschmerzen,Ich arbeite hier seit kurzem
ab,,Ab morgen esse ich gesünder,Der Zug fährt ab Berlin,Ab jetzt wird alles anders,Ab 18 darf man wählen,Ab und zu gehe ich joggen,Ab nächster Woche habe ich Urlaub,Die Show läuft ab Januar,Ab diesem Moment war alles klar,Ab morgen bin ich im Urlaub,Ab heute gilt eine neue Regel
ohne,,Ich gehe nie ohne mein Handy aus dem Haus,Kaffee ohne Zucker schmeckt mir besser,Ohne dich wäre alles anders,Er kam ohne Jacke in die Schule,Ohne Zweifel war das die richtige Entscheidung,Sie kann nicht ohne Musik leben,Wir fahren ohne Pause weiter,Ohne Grund hat er das getan,Ohne Licht ist es hier zu dunkel,Ich fühle mich nackt ohne Uhr
